,Ціна,"Локація (Місто, Район)",Поверх,Поверховість,Загальна площа,Площа кухні,Кількість кімнат,Меблювання,Ремонт,Домашні улюбленці,Автономність при блекауті
947,5 500 грн.,Біла Церква<!-- --> - <!-- -->07 липня 2024 р.,3,9,36 м²,9 м²,1 кімната,,,,
948,10 000 грн.,Іваниківка<!-- --> - <!-- -->07 липня 2024 р.,1,1,100 м²,18 м²,3 кімнати,З меблями,Житловий стан,"Так, інша тваринка 🦕, Так, маленький песик(до 10 кг) 🐕, Так, котик 😸",Працює опалення
949,26 376 грн.,"Львів, Личаківський<!-- --> - <!-- -->06 липня 2024 р.",9,10,71 м²,13 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,Працює ліфт
950,11 000 грн.,"Київ, Дніпровський<!-- --> - <!-- -->07 липня 2024 р.",10,16,44 м²,8 м²,2 кімнати,З меблями,,"Так, маленький песик(до 10 кг) 🐕, Так, котик 😸, Так, інша тваринка 🦕",
951,7 000 грн.,"Дніпро, Новокодацький<!-- --> - <!-- -->07 липня 2024 р.",1,5,47 м²,6 м²,2 кімнати,З меблями,Косметичний ремонт,,
952,9 000 грн.,"Харків, Індустріальний<!-- --> - <!-- -->07 липня 2024 р.",4,9,68 м²,9 м²,2 кімнати,З меблями,Євроремонт,,
953,8 000 грн.,"Харків, Немишлянський<!-- --> - <!-- -->07 липня 2024 р.",3,9,48 м²,10 м²,1 кімната,З меблями,Євроремонт,,
954,18 000 грн.,"Київ, Голосіївський<!-- --> - <!-- -->07 липня 2024 р.",10,24,45 м²,12 м²,1 кімната,З меблями,Євроремонт,"Так, маленький песик(до 10 кг) 🐕",
955,7 000 грн.,Кременчук<!-- --> - <!-- -->07 липня 2024 р.,4,5,31 м²,6 м²,1 кімната,З меблями,Авторський проект,Ні 🥺,
956,5 400 грн.,"Харків, Шевченківський <!-- --> - <!-- -->07 липня 2024 р.",1,5,62 м²,20 м²,3 кімнати,З меблями,Євроремонт,"Так, котик 😸, Так, інша тваринка 🦕, Так, маленький песик(до 10 кг) 🐕, Ні 🥺",
957,7 000 грн.,"Київ, Подільський<!-- --> - <!-- -->07 липня 2024 р.",3,9,33 м²,7 м²,1 кімната,,,,
958,4 500 грн.,"Харків, Шевченківський <!-- --> - <!-- -->07 липня 2024 р.",4,9,36 м²,7 м²,1 кімната,З меблями,,,
959,12 000 грн.,Біла Церква<!-- --> - <!-- -->07 липня 2024 р.,5,10,45 м²,12 м²,1 кімната,З меблями,Євроремонт,,
960,6 800 грн.,"Одеса, Приморський<!-- --> - <!-- -->07 липня 2024 р.",4,5,32 м²,7 м²,1 кімната,,Житловий стан,,
961,24 347 грн.,"Одеса, Приморський<!-- --> - <!-- -->05 липня 2024 р.",,,,,,,,,
962,24 347 грн.,"Київ, Шевченківський<!-- --> - <!-- -->02 липня 2024 р.",17,25,72 м²,21 м²,2 кімнати,З меблями,,Ні 🥺,"Працює інтернет, Працює ліфт, Працює водопопостачання, Працює опалення, Підключене резервне живлення"
963,32 463 грн.,"Львів, Залізничний<!-- --> - <!-- -->28 червня 2024 р.",8,10,130 м²,20 м²,3 кімнати,З меблями,Євроремонт,,
964,7 000 грн.,"Харків, Слобідський<!-- --> - <!-- -->07 липня 2024 р.",14,16,40 м²,20 м²,2 кімнати,З меблями,,,"Працює інтернет, Працює ліфт, Працює водопопостачання, Працює опалення"
965,5 500 грн.,"Одеса, Пересипський<!-- --> - <!-- -->07 липня 2024 р.",3,16,60 м²,8 м²,2 кімнати,,,,
966,18 000 грн.,"Дніпро, Центральний<!-- --> - <!-- -->07 липня 2024 р.",5,5,50 м²,30 м²,2 кімнати,З меблями,,"Так, маленький песик(до 10 кг) 🐕, Так, середній песик(до 25 кг) 🐩, Так, інша тваринка 🦕, Так, котик 😸",
967,12 174 грн.,"Дніпро, Соборний<!-- --> - <!-- -->07 липня 2024 р.",3,9,67 м²,10 м²,3 кімнати,З меблями,Євроремонт,"Так, котик 😸, Так, маленький песик(до 10 кг) 🐕",
968,3 000 грн.,"Харків, Шевченківський <!-- --> - <!-- -->07 липня 2024 р.",2,5,40 м²,9 м²,1 кімната,З меблями,Косметичний ремонт,,"Працює інтернет, Працює водопопостачання, Працює опалення"
969,27 000 грн.,"Київ, Дарницький<!-- --> - <!-- -->07 липня 2024 р.",2,25,82 м²,35 м²,3 кімнати,З меблями,Євроремонт,,
970,14 000 грн.,"Вінниця, Замостянський<!-- --> - <!-- -->07 липня 2024 р.",2,9,48 м²,8 м²,2 кімнати,З меблями,Євроремонт,,
971,"14 000 грн.<span class=""css-1vxklie"">Договірна</span>","Київ, Солом'янський<!-- --> - <!-- -->07 липня 2024 р.",10,25,48 м²,12 м²,1 кімната,,,,
972,"13 000 грн.<span class=""css-1vxklie"">Договірна</span>",Вишневе<!-- --> - <!-- -->07 липня 2024 р.,10,10,52 м²,12 м²,2 кімнати,З меблями,Євроремонт,,"Працює ліфт, Працює водопопостачання"
973,4 500 грн.,"Харків, Шевченківський <!-- --> - <!-- -->07 липня 2024 р.",2,9,33 м²,7 м²,1 кімната,,,,
974,8 000 грн.,Костянтинівка<!-- --> - <!-- -->06 липня 2024 р.,1,5,42 м²,15 м²,1 кімната,З меблями,Косметичний ремонт,"Так, котик 😸, Так, маленький песик(до 10 кг) 🐕, Так, середній песик(до 25 кг) 🐩, Так, великий песик 🐶, Так, інша тваринка 🦕","Працює інтернет, Працює водопопостачання, Працює опалення, Підключене резервне живлення"
975,11 000 грн.,Біла Церква<!-- --> - <!-- -->07 липня 2024 р.,4,9,67 м²,9 м²,3 кімнати,З меблями,,,
976,8 000 грн.,Стрий<!-- --> - <!-- -->06 липня 2024 р.,5,5,62 м²,8 м²,3 кімнати,З меблями,Косметичний ремонт,Ні 🥺,Працює опалення
977,6 000 грн.,"Харків, Салтівський<!-- --> - <!-- -->07 липня 2024 р.",10,12,33 м²,8 м²,1 кімната,З меблями,,,
978,6 000 грн.,"Харків, Немишлянський<!-- --> - <!-- -->07 липня 2024 р.",7,9,38 м²,7 м²,1 кімната,З меблями,Косметичний ремонт,,
979,7 000 грн.,"Харків, Індустріальний<!-- --> - <!-- -->07 липня 2024 р.",2,9,40 м²,8 м²,1 кімната,,Євроремонт,,
980,28 405 грн.,"Одеса, Приморський<!-- --> - <!-- -->07 липня 2024 р.",7,8,126 м²,20 м²,2 кімнати,З меблями,Євроремонт,"Так, котик 😸, Так, великий песик 🐶","Працює інтернет, Працює ліфт, Працює водопопостачання, Працює опалення, Підключене резервне живлення"
981,89 273 грн.,"Дніпро, Центральний<!-- --> - <!-- -->07 липня 2024 р.",1,5,150 м²,25 м²,3 кімнати,З меблями,Авторський проект,,Працює ліфт
982,243 472 грн.,"Київ, Печерський<!-- --> - <!-- -->07 липня 2024 р.",9,22,130 м²,15 м²,3 кімнати,З меблями,Авторський проект,,
983,35 000 грн.,Кременчук<!-- --> - <!-- -->07 липня 2024 р.,4,5,140 м²,15 м²,3 кімнати,З меблями,Євроремонт,,
984,64 926 грн.,Ужгород<!-- --> - <!-- -->07 липня 2024 р.,2,3,83 м²,25 м²,2 кімнати,,Авторський проект,Ні 🥺,
985,"263 559 грн.<span class=""css-1vxklie"">Договірна</span>","Київ, Печерський<!-- --> - <!-- -->07 липня 2024 р.",20,27,370 м²,60 м²,4 кімнати,З меблями,Авторський проект,"Так, маленький песик(до 10 кг) 🐕, Так, середній песик(до 25 кг) 🐩, Так, інша тваринка 🦕, Так, котик 😸","Працює опалення, Працює ліфт, Працює водопопостачання, Працює інтернет, Підключене резервне живлення"
986,22 318 грн.,"Одеса, Приморський<!-- --> - <!-- -->07 липня 2024 р.",23,25,70 м²,15 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,
987,15 000 грн.,Луцьк<!-- --> - <!-- -->07 липня 2024 р.,1,10,72 м²,14 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,
988,"12 000 грн.<span class=""css-1vxklie"">Договірна</span>","Львів, Залізничний<!-- --> - <!-- -->07 липня 2024 р.",3,3,30 м²,7 м²,1 кімната,З меблями,Євроремонт,"Так, котик 😸, Так, маленький песик(до 10 кг) 🐕",
989,5 500 грн.,Хмельницький<!-- --> - <!-- -->06 липня 2024 р.,10,10,35 м²,7 м²,1 кімната,З меблями,Косметичний ремонт,,
990,4 000 грн.,"Харків, Слобідський<!-- --> - <!-- -->07 липня 2024 р.",8,9,45 м²,8 м²,2 кімнати,З меблями,,,
991,11 000 грн.,Рівне<!-- --> - <!-- -->07 липня 2024 р.,7,9,60 м²,12 м²,3 кімнати,З меблями,Косметичний ремонт,,
992,4 500 грн.,"Харків, Холодногірський<!-- --> - <!-- -->07 липня 2024 р.",2,3,35 м²,11 м²,1 кімната,З меблями,Косметичний ремонт,Ні 🥺,
993,4 000 грн.,"Харків, Київський<!-- --> - <!-- -->07 липня 2024 р.",2,4,24 м²,3 м²,1 кімната,З меблями,Євроремонт,"Так, котик 😸","Підключене резервне живлення, Працює опалення, Працює водопопостачання"
994,7 000 грн.,Черкаси<!-- --> - <!-- -->07 липня 2024 р.,3,5,31 м²,5.60 м²,1 кімната,З меблями,Косметичний ремонт,Ні 🥺,"Працює водопопостачання, Працює інтернет, Працює опалення"
995,7 500 грн.,Полтава<!-- --> - <!-- -->07 липня 2024 р.,4,9,50 м²,8 м²,2 кімнати,З меблями,,,
996,6 000 грн.,"Кривий Ріг, Саксаганський<!-- --> - <!-- -->07 липня 2024 р.",5,9,46 м²,7 м²,2 кімнати,З меблями,,,
997,28 000 грн.,"Київ, Печерський<!-- --> - <!-- -->07 липня 2024 р.",,,,,,,,,
998,3 000 грн.,"Одеса, Київський<!-- --> - <!-- -->07 липня 2024 р.",2,9,36 м²,6 м²,1 кімната,,Житловий стан,Ні 🥺,
999,7 000 грн.,Кременчук<!-- --> - <!-- -->07 липня 2024 р.,4,5,31 м²,6 м²,1 кімната,З меблями,Авторський проект,Ні 🥺,
1000,"6 000 грн.<span class=""css-1vxklie"">Договірна</span>",Нова Знам'янка<!-- --> - <!-- -->06 липня 2024 р.,,,,,,,,,
1001,7 000 грн.,"Одеса, Хаджибейський<!-- --> - <!-- -->06 липня 2024 р.",5,10,60 м²,10 м²,2 кімнати,,Косметичний ремонт,,
1002,6 500 грн.,Хмельницький<!-- --> - <!-- -->07 липня 2024 р.,2,2,45 м²,6 м²,2 кімнати,З меблями,,"Так, котик 😸, Так, маленький песик(до 10 кг) 🐕, Так, середній песик(до 25 кг) 🐩, Так, інша тваринка 🦕",
1003,20 249 грн.,"Львів, Шевченківський<!-- --> - <!-- -->07 липня 2024 р.",1,2,115 м²,60 м²,3 кімнати,З меблями,Євроремонт,"Так, котик 😸, Так, маленький песик(до 10 кг) 🐕, Так, середній песик(до 25 кг) 🐩, Так, великий песик 🐶, Так, інша тваринка 🦕","Працює інтернет, Працює водопопостачання, Працює опалення"
1004,4 000 грн.,"Харків, Київський<!-- --> - <!-- -->07 липня 2024 р.",3,4,21 м²,3 м²,1 кімната,З меблями,Євроремонт,"Так, котик 😸","Підключене резервне живлення, Працює опалення, Працює водопопостачання"
1005,5 400 грн.,"Харків, Шевченківський <!-- --> - <!-- -->07 липня 2024 р.",1,5,62 м²,20 м²,3 кімнати,З меблями,Євроремонт,"Так, котик 😸, Так, інша тваринка 🦕, Так, маленький песик(до 10 кг) 🐕, Ні 🥺",
1006,15 000 грн.,"Миколаїв, Заводський<!-- --> - <!-- -->07 липня 2024 р.",7,7,75 м²,14 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,
1007,14 000 грн.,Тернопіль<!-- --> - <!-- -->07 липня 2024 р.,11,12,55 м²,20 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,
1008,4 000 грн.,"Харків, Індустріальний<!-- --> - <!-- -->07 липня 2024 р.",3,16,50 м²,9 м²,2 кімнати,,,"Так, маленький песик(до 10 кг) 🐕, Так, котик 😸",
1009,7 000 грн.,"Запоріжжя, Вознесенівський<!-- --> - <!-- -->07 липня 2024 р.",3,5,33.11 м²,6.21 м²,1 кімната,З меблями,Авторський проект,Ні 🥺,
1010,10 000 грн.,"Харків, Холодногірський<!-- --> - <!-- -->07 липня 2024 р.",2,9,40 м²,20 м²,1 кімната,,,,"Працює опалення, Працює інтернет, Працює ліфт, Працює водопопостачання"
1011,4 000 грн.,Умань<!-- --> - <!-- -->07 липня 2024 р.,8,9,22 м²,5 м²,1 кімната,,Косметичний ремонт,,
1012,14 000 грн.,"Вінниця, Замостянський<!-- --> - <!-- -->07 липня 2024 р.",2,9,48 м²,8 м²,2 кімнати,З меблями,Євроремонт,,
1013,105 505 грн.,"Київ, Подільський<!-- --> - <!-- -->07 липня 2024 р.",3,3,160 м²,20 м²,5+ кімнат,З меблями,Авторський проект,,
1014,12 174 грн.,Чернівці<!-- --> - <!-- -->06 липня 2024 р.,,,,,,,,,
1015,"14 600 грн.<span class=""css-1vxklie"">Договірна</span>","Дніпро, Чечелівський<!-- --> - <!-- -->05 липня 2024 р.",2,4,60 м²,9 м²,3 кімнати,З меблями,Житловий стан,Ні 🥺,"Працює водопопостачання, Підключене резервне живлення, Працює опалення"
1016,14 203 грн.,Ужгород<!-- --> - <!-- -->07 липня 2024 р.,6,9,50 м²,10 м²,2 кімнати,З меблями,Євроремонт,,
1017,2 000 грн.,"Кропивницький, Фортечний<!-- --> - <!-- -->07 липня 2024 р.",1,1,50 м²,5 м²,4 кімнати,З меблями,Житловий стан,,
1018,13 000 грн.,"Дніпро, Чечелівський<!-- --> - <!-- -->07 липня 2024 р.",12,18,72 м²,10 м²,3 кімнати,З меблями,Євроремонт,Ні 🥺,
1019,36 521 грн.,"Одеса, Приморський<!-- --> - <!-- -->07 липня 2024 р.",4,9,110 м²,20 м²,3 кімнати,З меблями,Авторський проект,Ні 🥺,
1020,"13 000 грн.<span class=""css-1vxklie"">Договірна</span>",Суми<!-- --> - <!-- -->07 липня 2024 р.,1,3,130 м²,40 м²,3 кімнати,З меблями,Євроремонт,,
1021,11 000 грн.,"Запоріжжя, Дніпровський<!-- --> - <!-- -->07 липня 2024 р.",9,9,68 м²,12 м²,3 кімнати,З меблями,Євроремонт,,
1022,25 000 грн.,"Дніпро, Соборний<!-- --> - <!-- -->07 липня 2024 р.",12,24,47 м²,11 м²,2 кімнати,З меблями,Євроремонт,,
1023,28 000 грн.,"Київ, Печерський<!-- --> - <!-- -->07 липня 2024 р.",2,4,45 м²,10 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,
1024,202 894 грн.,"Київ, Шевченківський<!-- --> - <!-- -->07 липня 2024 р.",4,6,250 м²,159 м²,5+ кімнат,З меблями,Авторський проект,,"Працює інтернет, Працює ліфт, Працює водопопостачання, Працює опалення, Підключене резервне живлення"
1025,14 203 грн.,Тернопіль<!-- --> - <!-- -->07 липня 2024 р.,8,15,42 м²,12 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,
1026,24 347 грн.,Ужгород<!-- --> - <!-- -->06 липня 2024 р.,3,9,50 м²,18 м²,1 кімната,З меблями,Авторський проект,Ні 🥺,
1027,11 500 грн.,Івано-Франківськ<!-- --> - <!-- -->06 липня 2024 р.,6,9,85 м²,15 м²,3 кімнати,З меблями,Євроремонт,,
1028,20 289 грн.,"Одеса, Приморський<!-- --> - <!-- -->07 липня 2024 р.",3,18,64 м²,18 м²,1 кімната,З меблями,Євроремонт,,"Працює ліфт, Працює водопопостачання, Працює опалення"
1029,28 405 грн.,"Львів, Шевченківський<!-- --> - <!-- -->07 липня 2024 р.",7,16,46 м²,18 м²,1 кімната,З меблями,,,
1030,57 000 грн.,"Львів, Личаківський<!-- --> - <!-- -->07 липня 2024 р.",3,6,134 м²,14 м²,4 кімнати,З меблями,Авторський проект,,"Працює інтернет, Працює опалення, Працює ліфт, Працює водопопостачання"
1031,8 000 грн.,"Дніпро, Центральний<!-- --> - <!-- -->07 липня 2024 р.",1,5,45 м²,6 м²,2 кімнати,,,,
1032,57 013 грн.,"Київ, Дніпровський<!-- --> - <!-- -->07 липня 2024 р.",23,26,138 м²,30 м²,5+ кімнат,З меблями,Авторський проект,"Так, котик 😸, Так, маленький песик(до 10 кг) 🐕",
1033,9 500 грн.,"Харків, Шевченківський <!-- --> - <!-- -->07 липня 2024 р.",1,4,64 м²,9 м²,3 кімнати,З меблями,Євроремонт,"Так, котик 😸, Так, маленький песик(до 10 кг) 🐕, Так, інша тваринка 🦕",Працює опалення
1034,243 472 грн.,"Київ, Печерський<!-- --> - <!-- -->07 липня 2024 р.",9,22,130 м²,15 м²,3 кімнати,З меблями,Авторський проект,,
1035,24 347 грн.,"Львів, Шевченківський<!-- --> - <!-- -->07 липня 2024 р.",9,12,41 м²,18 м²,1 кімната,З меблями,,Ні 🥺,
1036,18 260 грн.,"Львів, Франківський<!-- --> - <!-- -->07 липня 2024 р.",6,10,49 м²,12 м²,1 кімната,З меблями,,,
1037,"24 347 грн.<span class=""css-1vxklie"">Договірна</span>","Львів, Шевченківський<!-- --> - <!-- -->07 липня 2024 р.",8,15,45 м²,18 м²,1 кімната,З меблями,Авторський проект,"Так, маленький песик(до 10 кг) 🐕",
1038,154 199 грн.,"Київ, Печерський<!-- --> - <!-- -->07 липня 2024 р.",5,30,130 м²,30 м²,4 кімнати,З меблями,Авторський проект,,"Працює інтернет, Працює ліфт, Працює водопопостачання, Працює опалення, Підключене резервне живлення"
1039,6 000 грн.,"Одеса, Приморський - 05 липня 2024 р.",3,3,23 м²,6 м²,1 кімната,З меблями,,Ні 🥺,
1040,20 000 грн.,"Дніпро, Центральний - 06 липня 2024 р.",5,25,57 м²,10 м²,2 кімнати,,,,
1041,9 000 грн.,"Одеса, Приморський - 07 липня 2024 р.",2,3,40 м²,9 м²,2 кімнати,З меблями,Євроремонт,,
1042,14 500 грн.,"Київ, Солом'янський - 07 липня 2024 р.",8,9,52 м²,7 м²,2 кімнати,З меблями,Житловий стан,,
1043,4 500 грн.,"Харків, Холодногірський - 07 липня 2024 р.",2,3,35 м²,11 м²,1 кімната,З меблями,Косметичний ремонт,Ні 🥺,
1044,"8 500 грн.<span class=""css-1vxklie"">Договірна</span>",Інженерний - 07 липня 2024 р.,3,5,67 м²,15 м²,2 кімнати,З меблями,Євроремонт,,
1045,13 000 грн.,"Київ, Печерський - 07 липня 2024 р.",5,24,50 м²,12 м²,1 кімната,З меблями,Авторський проект,,
1046,6 500 грн.,Біла Церква - 07 липня 2024 р.,9,9,62 м²,9 м²,3 кімнати,З меблями,Косметичний ремонт,"Так, котик 😸",
1047,14 999 грн.,"Київ, Дарницький - 07 липня 2024 р.",3,12,37 м²,13 м²,1 кімната,З меблями,Авторський проект,,
1048,"10 000 грн.<span class=""css-1vxklie"">Договірна</span>","Одеса, Хаджибейський - 07 липня 2024 р.",7,9,48 м²,9 м²,2 кімнати,З меблями,Авторський проект,,
1049,13 000 грн.,Мукачево - 07 липня 2024 р.,6,6,56 м²,12 м²,2 кімнати,З меблями,Євроремонт,,
1050,28 000 грн.,"Київ, Печерський - 07 липня 2024 р.",2,10,65 м²,20 м²,2 кімнати,З меблями,Авторський проект,Ні 🥺,"Працює водопопостачання, Працює інтернет"
1051,8 000 грн.,Вишгород - 07 липня 2024 р.,3,5,50 м²,7 м²,2 кімнати,З меблями,Житловий стан,Ні 🥺,
1052,223 183 грн.,"Київ, Печерський - 29 червня 2024 р.",30,30,250 м²,11 м²,2 кімнати,З меблями,Авторський проект,,
1053,10 999 грн.,"Дніпро, Амур-Нижньодніпровський  - 06 липня 2024 р.",2,5,52 м²,8 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,
1054,10 000 грн.,Івано-Франківськ - 07 липня 2024 р.,7,9,65 м²,10 м²,3 кімнати,З меблями,Євроремонт,,
1055,8 500 грн.,Ірпінь - 07 липня 2024 р.,2,5,40 м²,10 м²,1 кімната,З меблями,Житловий стан,Ні 🥺,
1056,4 000 грн.,"Харків, Немишлянський - 07 липня 2024 р.",8,16,50 м²,9 м²,2 кімнати,З меблями,Житловий стан,,
1057,15 000 грн.,"Львів, Личаківський - 07 липня 2024 р.",5,9,50 м²,8 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,
1058,11 000 грн.,Буча - 07 липня 2024 р.,2,10,50 м²,15 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,
1059,15 000 грн.,"Київ, Подільський - 07 липня 2024 р.",13,17,41 м²,14 м²,1 кімната,,Євроремонт,Ні 🥺,"Працює інтернет, Працює ліфт, Працює водопопостачання, Працює опалення"
1060,28 000 грн.,"Київ, Солом'янський - 07 липня 2024 р.",,,,,,,,,
1061,3 000 грн.,Чугуїв - 07 липня 2024 р.,7,9,37 м²,7 м²,1 кімната,,,,
1062,11 000 грн.,"Харків, Слобідський - 07 липня 2024 р.",1,2,80 м²,10 м²,3 кімнати,З меблями,Євроремонт,,
1063,3 500 грн.,"Миколаїв, Iнгульський - 07 липня 2024 р.",8,9,30 м²,7 м²,1 кімната,З меблями,Житловий стан,Ні 🥺,
1064,6 000 грн.,"Харків, Салтівський - 07 липня 2024 р.",3,9,47 м²,7 м²,2 кімнати,З меблями,Авторський проект,"Так, маленький песик(до 10 кг) 🐕","Працює інтернет, Працює ліфт, Працює водопопостачання"
1065,12 500 грн.,"Одеса, Хаджибейський - 06 липня 2024 р.",1,10,80 м²,16 м²,3 кімнати,З меблями,,"Так, маленький песик(до 10 кг) 🐕, Так, котик 😸","Працює інтернет, Працює водопопостачання, Працює опалення"
1066,105 505 грн.,"Київ, Печерський - 06 липня 2024 р.",4,30,94 м²,20 м²,3 кімнати,З меблями,Авторський проект,,Підключене резервне живлення
1067,12 000 грн.,Рованці - 07 липня 2024 р.,3,9,66 м²,8 м²,3 кімнати,З меблями,Косметичний ремонт,Ні 🥺,"Працює інтернет, Працює ліфт, Працює водопопостачання, Працює опалення"
1068,6 000 грн.,"Одеса, Пересипський - 07 липня 2024 р.",9,10,50 м²,15 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,
1069,40 579 грн.,"Київ, Голосіївський - 07 липня 2024 р.",14,15,120 м²,18 м²,3 кімнати,З меблями,Євроремонт,,
1070,"18 260 грн.<span class=""css-1vxklie"">Договірна</span>",Чернівці - 07 липня 2024 р.,7,7,70 м²,15 м²,2 кімнати,З меблями,Авторський проект,"Так, інша тваринка 🦕, Так, котик 😸, Так, середній песик(до 25 кг) 🐩, Так, великий песик 🐶",
1071,6 000 грн.,Слов'янськ - 07 липня 2024 р.,3,9,36 м²,8 м²,1 кімната,З меблями,Косметичний ремонт,,
1072,14 000 грн.,Рівне - 07 липня 2024 р.,8,9,48 м²,8 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,
1073,32 463 грн.,"Одеса, Київський - 07 липня 2024 р.",15,17,70 м²,30 м²,2 кімнати,,Євроремонт,,
1074,34 492 грн.,"Харків, Шевченківський  - 07 липня 2024 р.",7,7,150 м²,20 м²,4 кімнати,З меблями,Авторський проект,,"Працює опалення, Працює водопопостачання"
1075,24 307 грн.,Ужгород - 07 липня 2024 р.,4,9,35 м²,15 м²,1 кімната,З меблями,Авторський проект,Ні 🥺,
1076,16 000 грн.,"Запоріжжя, Дніпровський - 07 липня 2024 р.",8,12,50 м²,10 м²,2 кімнати,З меблями,Євроремонт,,
1077,11 700 грн.,"Харків, Холодногірський - 07 липня 2024 р.",10,16,70 м²,10 м²,3 кімнати,З меблями,Авторський проект,Ні 🥺,
1078,"10 964 грн.<span class=""css-1vxklie"">Договірна</span>",Чернівці - 11 червня 2024 р.,2,2,27 м²,7 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,
1079,20 289 грн.,"Львів, Франківський - 06 липня 2024 р.",6,10,50 м²,17 м²,1 кімната,З меблями,Євроремонт,,
1080,32 463 грн.,"Миколаїв, Центральний - 06 липня 2024 р.",4,5,72 м²,12 м²,3 кімнати,З меблями,Авторський проект,Ні 🥺,
1081,17 000 грн.,"Львів, Галицький - 07 липня 2024 р.",13,16,50 м²,12 м²,2 кімнати,З меблями,Євроремонт,,Працює ліфт
1082,9 500 грн.,Луцьк - 07 липня 2024 р.,1,5,55 м²,8 м²,2 кімнати,З меблями,Житловий стан,,
1083,8 000 грн.,"Харків, Холодногірський - 07 липня 2024 р.",1,1,56 м²,6 м²,2 кімнати,З меблями,,,"Працює інтернет, Працює водопопостачання, Працює опалення"
1084,16 231 грн.,"Харків, Шевченківський  - 07 липня 2024 р.",5,5,60 м²,25 м²,2 кімнати,,Авторський проект,,"Працює інтернет, Працює водопопостачання, Працює опалення"
1085,"15 000 грн.<span class=""css-1vxklie"">Договірна</span>",Костянтинівка - 07 липня 2024 р.,5,9,75 м²,15 м²,3 кімнати,З меблями,Євроремонт,,Працює водопопостачання
1086,202 894 грн.,"Київ, Шевченківський - 07 липня 2024 р.",4,6,250 м²,159 м²,5+ кімнат,З меблями,Авторський проект,,"Працює інтернет, Працює ліфт, Працює водопопостачання, Працює опалення, Підключене резервне живлення"
1087,10 000 грн.,"Харків, Шевченківський  - 07 липня 2024 р.",19,23,75 м²,15 м²,2 кімнати,З меблями,Євроремонт,,
1088,20 289 грн.,"Львів, Шевченківський - 07 липня 2024 р.",4,10,70 м²,17 м²,2 кімнати,З меблями,Авторський проект,,
1089,10 000 грн.,"Харків, Основ'янський - 07 липня 2024 р.",2,2,80 м²,25 м²,4 кімнати,,,,
1090,50 723 грн.,"Київ, Печерський - 07 липня 2024 р.",18,24,50 м²,15 м²,1 кімната,З меблями,Авторський проект,Ні 🥺,"Працює інтернет, Працює ліфт, Працює водопопостачання, Працює опалення, Підключене резервне живлення"
1091,8 000 грн.,"Одеса, Хаджибейський<!-- --> - <!-- -->06 липня 2024 р.",7,19,36 м²,8 м²,1 кімната,З меблями,Євроремонт,,
1092,"12 000 грн.<span class=""css-1vxklie"">Договірна</span>",Мукачево<!-- --> - <!-- -->07 липня 2024 р.,2,3,40 м²,10 м²,1 кімната,З меблями,Євроремонт,,
1093,28 405 грн.,"Одеса, Приморський<!-- --> - <!-- -->06 липня 2024 р.",2,2,100 м²,30 м²,3 кімнати,З меблями,Авторський проект,"Так, котик 😸, Так, маленький песик(до 10 кг) 🐕, Так, інша тваринка 🦕",
1094,15 500 грн.,"Київ, Дарницький<!-- --> - <!-- -->07 липня 2024 р.",13,16,77 м²,9 м²,3 кімнати,З меблями,,,
1095,11 000 грн.,"Дніпро, Соборний<!-- --> - <!-- -->07 липня 2024 р.",2,9,38 м²,9 м²,1 кімната,З меблями,Євроремонт,,
1096,"8 500 грн.<span class=""css-1vxklie"">Договірна</span>",Інженерний<!-- --> - <!-- -->07 липня 2024 р.,3,5,67 м²,15 м²,2 кімнати,З меблями,Євроремонт,,
1097,11 500 грн.,"Київ, Солом'янський<!-- --> - <!-- -->07 липня 2024 р.",3,5,28 м²,7 м²,1 кімната,З меблями,Косметичний ремонт,,
1098,4 500 грн.,Авангард<!-- --> - <!-- -->07 липня 2024 р.,2,5,33 м²,8 м²,1 кімната,З меблями,,,
1099,"7 800 грн.<span class=""css-1vxklie"">Договірна</span>","Кропивницький, Подільський<!-- --> - <!-- -->07 липня 2024 р.",2,5,44 м²,7 м²,2 кімнати,З меблями,Житловий стан,"Так, маленький песик(до 10 кг) 🐕, Так, котик 😸",
1100,13 000 грн.,Мукачево<!-- --> - <!-- -->07 липня 2024 р.,6,6,56 м²,12 м²,2 кімнати,З меблями,Євроремонт,,
1101,9 000 грн.,"Київ, Дніпровський<!-- --> - <!-- -->07 липня 2024 р.",8,9,39 м²,7 м²,1 кімната,З меблями,Косметичний ремонт,Ні 🥺,
1102,4 000 грн.,"Харків, Салтівський<!-- --> - <!-- -->07 липня 2024 р.",7,9,34 м²,8 м²,1 кімната,,Євроремонт,,
